Date/Time	Latitude	Longitude	Speed [kn]	Course [deg]
2019-09-20T17:50	69.67955	18.99664	0.000	255.9
2019-09-20T18:00	69.67955	18.99665	0.001	11.2
2019-09-20T18:10	69.67955	18.99665	0.000	79.1
2019-09-20T18:20	69.67955	18.99665	0.000	108.2
2019-09-20T18:30	69.67955	18.99665	0.001	296.7
2019-09-20T18:40	69.67955	18.99665	0.001	164.1
2019-09-20T18:50	69.67941	18.99683	0.055	155.7
2019-09-20T19:00	69.68378	19.02527	3.889	66.1
2019-09-20T19:10	69.70577	19.04519	8.299	17.4
2019-09-20T19:20	69.73755	19.04487	11.441	359.8
2019-09-20T19:30	69.76527	19.10145	12.221	35.2
2019-09-20T19:40	69.77909	19.20138	13.398	68.2
2019-09-20T19:50	69.79237	19.30423	13.659	69.5
2019-09-20T20:00	69.80262	19.41134	13.819	74.5
2019-09-20T20:10	69.81563	19.51557	13.774	70.1
2019-09-20T20:20	69.82751	19.62155	13.840	71.9
2019-09-20T20:30	69.83913	19.72716	13.761	72.3
2019-09-20T20:40	69.86485	19.79651	12.639	42.8
2019-09-20T20:50	69.89505	19.85671	13.185	34.4
2019-09-20T21:00	69.91434	19.89519	8.419	34.4
2019-09-20T21:10	69.94229	19.95030	12.151	34.1
2019-09-20T21:20	69.97117	20.00871	12.653	34.7
2019-09-20T21:30	70.00019	20.06730	12.698	34.6
2019-09-20T21:40	70.02967	20.12746	12.942	34.9
2019-09-20T21:50	70.05962	20.18589	12.955	33.6
2019-09-20T22:00	70.09253	20.23073	13.065	24.9
2019-09-20T22:10	70.12660	20.26533	12.978	19.0
2019-09-20T22:20	70.16060	20.29812	12.882	18.1
2019-09-20T22:30	70.19409	20.33051	12.689	18.1
2019-09-20T22:40	70.22724	20.36294	12.573	18.3
2019-09-20T22:50	70.25954	20.39424	12.239	18.1
2019-09-20T23:00	70.28971	20.43964	12.181	26.9
2019-09-20T23:10	70.31849	20.50102	12.763	35.7
2019-09-20T23:20	70.34750	20.56225	12.810	35.4
2019-09-20T23:30	70.37649	20.62351	12.804	35.3
2019-09-20T23:40	70.40516	20.68454	12.686	35.5
2019-09-20T23:50	70.43396	20.74543	12.709	35.3
2019-09-21T00:00	70.46332	20.80802	12.985	35.5
2019-09-21T00:10	70.49181	20.86849	12.577	35.3
2019-09-21T00:20	70.52049	20.93004	12.699	35.6
2019-09-21T00:30	70.54917	20.99093	12.650	35.2
2019-09-21T00:40	70.57781	21.05105	12.580	34.9
2019-09-21T00:50	70.60636	21.11110	12.539	34.9
2019-09-21T01:00	70.63522	21.17132	12.640	34.7
2019-09-21T01:10	70.66511	21.23390	13.096	34.7
2019-09-21T01:20	70.69492	21.29680	13.090	34.9
2019-09-21T01:30	70.72394	21.35772	12.715	34.7
2019-09-21T01:40	70.75281	21.41871	12.672	34.8
2019-09-21T01:50	70.78213	21.48070	12.862	34.8
2019-09-21T02:00	70.81119	21.54236	12.762	34.9
2019-09-21T02:10	70.84000	21.60593	12.809	35.9
2019-09-21T02:20	70.86420	21.68586	12.847	47.3
2019-09-21T02:30	70.88861	21.76678	12.975	47.3
2019-09-21T02:40	70.91292	21.84737	12.912	47.3
2019-09-21T02:50	70.93745	21.92865	13.019	47.2
2019-09-21T03:00	70.96190	22.01045	13.034	47.5
2019-09-21T03:10	70.98653	22.09311	13.146	47.5
2019-09-21T03:20	71.01133	22.17673	13.259	47.6
2019-09-21T03:30	71.03646	22.26157	13.436	47.6
2019-09-21T03:40	71.06212	22.34780	13.676	47.5
2019-09-21T03:50	71.08720	22.43399	13.520	48.1
2019-09-21T04:00	71.11250	22.52036	13.581	47.8
2019-09-21T04:10	71.13771	22.60721	13.591	48.1
2019-09-21T04:20	71.16259	22.69259	13.377	47.9
2019-09-21T04:30	71.18741	22.77860	13.404	48.2
2019-09-21T04:40	71.21213	22.86460	13.373	48.2
2019-09-21T04:50	71.23657	22.95029	13.267	48.4
2019-09-21T05:00	71.26079	23.03522	13.141	48.4
2019-09-21T05:10	71.28492	23.11956	13.058	48.3
2019-09-21T05:20	71.30885	23.20474	13.076	48.7
2019-09-21T05:30	71.33278	23.28974	13.049	48.6
2019-09-21T05:40	71.35689	23.37562	13.161	48.7
2019-09-21T05:50	71.38050	23.45987	12.890	48.7
2019-09-21T06:00	71.40394	23.54445	12.870	49.0
2019-09-21T06:10	71.42742	23.62908	12.876	48.9
2019-09-21T06:20	71.45091	23.71392	12.886	48.9
2019-09-21T06:30	71.47434	23.79934	12.913	49.2
2019-09-21T06:40	71.49775	23.88441	12.871	49.0
2019-09-21T06:50	71.52089	23.96961	12.809	49.4
2019-09-21T07:00	71.54404	24.05521	12.836	49.5
2019-09-21T07:10	71.56696	24.13992	12.698	49.4
2019-09-21T07:20	71.58971	24.22387	12.584	49.3
2019-09-21T07:30	71.61221	24.30723	12.464	49.4
2019-09-21T07:40	71.63450	24.39131	12.470	49.9
2019-09-21T07:50	71.65692	24.47575	12.523	49.8
2019-09-21T08:00	71.67923	24.55958	12.434	49.7
2019-09-21T08:10	71.70166	24.64440	12.540	49.9
2019-09-21T08:20	71.72430	24.73047	12.689	50.0
2019-09-21T08:30	71.74697	24.81747	12.767	50.2
2019-09-21T08:40	71.76925	24.90365	12.599	50.4
2019-09-21T08:50	71.79130	24.98817	12.391	50.1
2019-09-21T09:00	71.81303	25.07212	12.262	50.3
2019-09-21T09:10	71.83483	25.15652	12.307	50.3
2019-09-21T09:20	71.85661	25.24039	12.246	50.2
2019-09-21T09:30	71.87775	25.32412	12.083	50.9
2019-09-21T09:40	71.89902	25.40800	12.114	50.8
2019-09-21T09:50	71.92018	25.49137	12.039	50.7
2019-09-21T10:00	71.94108	25.57423	11.928	50.8
2019-09-21T10:10	71.96179	25.65641	11.817	50.8
2019-09-21T10:20	71.98229	25.73761	11.677	50.8
2019-09-21T10:30	72.00270	25.81856	11.625	50.8
2019-09-21T10:40	72.02297	25.90094	11.712	51.4
2019-09-21T10:50	72.04306	25.98221	11.566	51.3
2019-09-21T11:00	72.06317	26.06438	11.643	51.5
2019-09-21T11:10	72.07899	26.14339	10.447	56.9
2019-09-21T11:20	72.07025	26.11339	4.579	226.6
2019-09-21T11:30	72.08722	26.16361	8.263	42.3
2019-09-21T11:40	72.10765	26.24496	11.627	50.7
2019-09-21T11:50	72.12786	26.32761	11.681	51.4
2019-09-21T12:00	72.14798	26.41001	11.631	51.4
2019-09-21T12:10	72.16993	26.48709	11.609	47.1
2019-09-21T12:20	72.19305	26.56088	11.635	44.3
2019-09-21T12:30	72.21604	26.63426	11.563	44.3
2019-09-21T12:40	72.23915	26.70834	11.642	44.3
2019-09-21T12:50	72.26242	26.78298	11.720	44.3
2019-09-21T13:00	72.28545	26.85751	11.640	44.5
2019-09-21T13:10	72.30842	26.93237	11.642	44.7
2019-09-21T13:20	72.33156	27.00764	11.713	44.6
2019-09-21T13:30	72.35495	27.08403	11.854	44.7
2019-09-21T13:40	72.38144	27.17072	13.430	44.7
2019-09-21T13:50	72.40744	27.25663	13.234	45.0
2019-09-21T14:00	72.43329	27.34232	13.171	45.0
2019-09-21T14:10	72.45931	27.42888	13.271	45.1
2019-09-21T14:20	72.48571	27.51696	13.475	45.1
2019-09-21T14:30	72.51210	27.60472	13.437	45.0
2019-09-21T14:40	72.53859	27.69439	13.601	45.4
2019-09-21T14:50	72.56246	27.78944	13.384	50.0
2019-09-21T15:00	72.58152	27.89411	13.210	58.7
2019-09-21T15:10	72.60706	27.98194	13.194	45.8
2019-09-21T15:20	72.63584	28.06135	13.425	39.5
2019-09-21T15:30	72.66464	28.14070	13.421	39.4
2019-09-21T15:40	72.69282	28.22250	13.411	40.8
2019-09-21T15:50	72.71879	28.31216	13.399	45.7
2019-09-21T16:00	72.74398	28.39975	13.034	45.9
2019-09-21T16:10	72.76865	28.48632	12.815	46.1
